000	4
219	7
223	4
227	3
231	9
235	2
239	6
243	20
247	11
251	21
255	22
259	19
263	17
267	13
271	13
275	10
279	5
283	1
291	2
295	1
000	4
173	2
177	1
181	1
185	1
189	2
197	14
201	11
205	26
209	26
213	26
217	41
221	25
225	8
229	2
145	1
149	2
153	1
157	20
161	47
165	5
169	7
173	2
177	12
181	8
185	16
189	7
193	12
197	2
201	14
205	32
213	2
000	6
112	1
114	5
116	91
118	9
120	1
128	72
130	5
171	1
215	5
219	9
223	2
227	3
231	11
235	5
239	13
243	13
247	15
251	16
255	12
259	14
263	20
267	15
271	8
275	9
279	3
283	4
287	3
291	3
295	5
307	1
000	2
173	1
177	1
181	4
185	1
189	1
197	14
201	6
205	32
209	25
213	40
217	29
221	19
225	9
229	5
233	1
000	2
145	2
149	5
153	2
157	16
161	60
165	11
169	9
173	4
177	4
181	4
185	20
189	3
193	11
197	8
201	9
205	19
209	1
114	5
116	86
118	8
120	8
128	82
130	1
