90	94	96	98	100	102	104	106	108	110	114																															
0	0	1	5	59	0	79	33	1	7	1																															
246	250	254	258	270	278	292	296	300	308	312	316	320	324	328	332	336	340	344	348	352	356	360	364	368	372	376	384														
0	0	1	0	0	0	1	3	0	0	0	11	5	5	6	19	14	17	24	35	7	26	7	8	0	0	0	1														
203	207	211	215	219	223	227	231	235	239	243	247	251	255																												
0	3	1	0	12	13	10	30	52	35	20	9	1	4																												
162	166	170	174	178	182	186	190	194	198	202	206	210	214	218	258	262	266	270	274	278	282	286	290	294	298	302	306	310	314	318	322	326	330	334	338	342	346	350	354	358	362
2	1	1	0	1	0	2	2	0	1	2	1	8	6	1	0	1	2	2	3	6	3	7	11	12	15	11	30	20	15	7	2	3	5	1	0	2	2	0	0	0	0
124	128	129	132	136	140	144	148																																		
13	127	0	30	5	6	5	0																																		
172	176	180	184	188	192	194	196	200	204	208	212	216	220	224	228	232	236	240	244	248	252	256	260	268	272																
1	3	2	1	9	31	0	31	13	32	26	9	2	3	1	0	5	6	1	2	2	0	7	2	1	0																
218	226	230	234	238	242	246	250	254	256	258	262	266	270	274	278	282	286	290	294																						
0	0	4	2	48	38	4	27	7	3	14	13	3	13	7	0	2	1	3	1																						
128	186	194	198	202	206	210	214	230	234	238	242	246	250	254	258	262	266	270	274	278	282	286	290	294	298	302	306	310	326	338	342	350									
0	0	3	25	38	21	5	1	3	5	2	5	4	1	0	0	0	6	3	11	11	13	17	4	3	1	1	0	0	1	0	0	0									
171	215	219	223	227	231	235	239	243	247	251	255	259	263	267	271	275	279	283	287	291	295	299	307	344																	
0	1	10	1	5	8	6	11	12	18	16	19	18	10	11	11	11	7	2	3	7	1	2	0	0																	
173	177	181	185	189	193	197	201	205	209	213	217	221	225	229	233	237	253																								
1	0	0	0	4	2	26	10	18	25	41	27	17	9	6	0	0	0																								
133	145	149	153	157	161	165	169	173	177	181	185	189	193	197	201	205	209	213																							
0	0	2	0	74	26	11	19	0	5	16	3	5	11	1	3	13	0	1																							
80	106	110	114	118	122																																				
20	0	43	107	17	3																																				
112	114	116	118	120	128	130	132																																		
0	2	85	7	0	85	0	3																																		
